Auction_ID,Product_Name,Lot,Bidder_ID,Start_Price,Bid_Amount,Bid_Time,Auction_Start,Auction_End,Bid_Winner,Fraudulent
176563,Microwave Oven,3,48446,9880.57,12178.87,2016-07-02 11:39:00,2016-07-02 10:40:00,2016-07-04 10:40:00,48446.0,1
125739,Electric Guitar,1,27554,42299.53,51895.94,2016-10-27 12:06:00,2016-10-27 11:40:00,2016-10-30 11:40:00,27554.0,1
281764,Home Theater System,3,22400,35153.35,43367.87,2016-06-01 14:13:00,2016-06-01 11:29:00,2016-06-03 11:29:00,22400.0,0
201493,Air Conditioner,3,32504,35163.78,47449.21,2016-03-01 12:25:00,2016-03-01 10:15:00,2016-03-05 10:15:00,32504.0,0
139041,Laptop,2,19170,31106.33,43001.93,2016-09-18 12:24:00,2016-09-18 10:39:00,2016-09-22 10:39:00,19170.0,1
249315,LED TV,1,39231,60759.43,69335.48,2016-03-23 12:35:00,2016-03-23 09:55:00,2016-03-29 09:55:00,39231.0,0
973379,Used Smartphone,2,29502,22424.43,28925.59,2016-10-21 12:00:00,2016-10-21 10:42:00,2016-10-24 10:42:00,29502.0,0
855878,Digital Camera,1,15513,39679.65,54584.28,2016-10-13 12:35:00,2016-10-13 10:36:00,2016-10-15 10:36:00,15513.0,1
860173,Power Tools,1,23581,4459.07,5528.23,2016-05-03 11:29:00,2016-05-03 11:28:00,2016-05-05 11:28:00,23581.0,1
466061,Home Theater System,2,34525,19916.19,21566.72,2016-01-24 10:37:00,2016-01-24 10:11:00,2016-01-30 10:11:00,,0
957232,LED TV,3,31589,24346.98,31769.12,2016-08-02 13:21:00,2016-08-02 10:22:00,2016-08-03 10:22:00,31589.0,0
823716,Washing Machine,2,40341,24320.92,31405.37,2016-08-05 11:45:00,2016-08-05 09:53:00,2016-08-08 09:53:00,40341.0,1
207138,Laptop,2,5064,35282.43,52162.05,2016-04-07 10:00:00,2016-04-07 09:39:00,2016-04-12 09:39:00,5064.0,1
188936,Digital Camera,1,26164,50774.15,67379.04,2016-10-20 10:12:00,2016-10-20 09:08:00,2016-10-26 09:08:00,26164.0,0
908439,Electric Guitar,3,22431,54221.22,86372.86,2016-07-06 12:04:00,2016-07-06 10:33:00,2016-07-12 10:33:00,22431.0,1
308511,Office Chair,1,23920,8444.29,12191.08,2016-12-07 12:55:00,2016-12-07 10:19:00,2016-12-13 10:19:00,23920.0,1
802510,Electric Guitar,3,7940,17888.65,23843.9,2016-06-20 12:40:00,2016-06-20 11:26:00,2016-06-21 11:26:00,7940.0,0
629667,Laptop,2,39595,24303.66,25996.32,2016-10-11 13:49:00,2016-10-11 11:49:00,2016-10-15 11:49:00,,0
211727,Tablet,1,46643,21549.57,25901.8,2016-12-24 10:43:00,2016-12-24 09:16:00,2016-12-30 09:16:00,46643.0,1
968088,Office Chair,3,44873,12964.53,16561.71,2016-02-09 11:36:00,2016-02-09 10:27:00,2016-02-14 10:27:00,44873.0,0
885551,Refrigerator,1,45883,34760.66,52609.11,2016-03-03 12:11:00,2016-03-03 09:22:00,2016-03-05 09:22:00,45883.0,1
917999,Refrigerator,2,38505,57967.61,65698.58,2016-10-04 12:50:00,2016-10-04 10:32:00,2016-10-08 10:32:00,38505.0,0
583323,Washing Machine,3,46947,11985.31,16413.43,2016-03-21 09:45:00,2016-03-21 09:42:00,2016-03-27 09:42:00,46947.0,1
124459,Electric Guitar,3,8880,57239.48,82971.96,2016-10-13 11:19:00,2016-10-13 09:29:00,2016-10-17 09:29:00,8880.0,1
793060,Used Smartphone,2,47732,16614.52,18440.39,2016-05-12 11:48:00,2016-05-12 09:40:00,2016-05-18 09:40:00,47732.0,0
629745,Used Smartphone,3,42900,27139.07,30756.54,2016-11-18 11:17:00,2016-11-18 09:04:00,2016-11-21 09:04:00,42900.0,0
499916,Washing Machine,3,41445,49020.39,73741.0,2016-07-03 10:48:00,2016-07-03 09:19:00,2016-07-06 09:19:00,41445.0,1
727159,Air Conditioner,3,9637,34024.2,39340.55,2016-10-07 12:15:00,2016-10-07 10:11:00,2016-10-09 10:11:00,9637.0,0
808778,Home Theater System,2,49747,33053.03,36940.35,2016-08-16 10:14:00,2016-08-16 09:57:00,2016-08-20 09:57:00,49747.0,0
367525,Microwave Oven,1,45897,12496.89,14204.49,2016-02-23 11:19:00,2016-02-23 10:56:00,2016-02-26 10:56:00,45897.0,0
239622,Laptop,1,44435,53051.99,71253.06,2016-03-25 12:46:00,2016-03-25 10:30:00,2016-03-28 10:30:00,44435.0,1
677676,Refrigerator,2,17497,32506.51,42550.45,2016-11-25 12:47:00,2016-11-25 11:41:00,2016-11-27 11:41:00,17497.0,1
332150,Used Smartphone,3,39956,23023.55,33169.81,2016-02-21 10:46:00,2016-02-21 09:46:00,2016-02-25 09:46:00,39956.0,1
515836,Digital Camera,2,22798,16586.98,18296.8,2016-10-13 11:01:00,2016-10-13 10:49:00,2016-10-14 10:49:00,22798.0,0
897275,Washing Machine,1,36748,47343.52,73645.35,2016-12-09 12:02:00,2016-12-09 09:18:00,2016-12-12 09:18:00,36748.0,1
797430,Air Conditioner,2,41051,23313.73,26394.07,2016-02-29 13:34:00,2016-02-29 11:27:00,2016-03-03 11:27:00,41051.0,0
721146,Air Conditioner,3,7966,61262.25,97981.27,2016-03-18 12:44:00,2016-03-18 10:42:00,2016-03-19 10:42:00,7966.0,1
732814,Scooter Helmet,2,40382,4016.5,6149.6,2016-02-23 14:34:00,2016-02-23 11:48:00,2016-02-28 11:48:00,40382.0,1
821160,Office Chair,2,13733,11212.06,13941.98,2016-07-15 13:29:00,2016-07-15 11:03:00,2016-07-18 11:03:00,13733.0,0
812032,Microwave Oven,3,33251,22540.24,24553.1,2016-11-23 10:50:00,2016-11-23 09:18:00,2016-11-24 09:18:00,,0
679863,Office Chair,2,35527,10084.83,10663.99,2016-03-12 12:56:00,2016-03-12 10:45:00,2016-03-17 10:45:00,,0
318188,Power Tools,1,29983,7318.94,9239.17,2016-11-11 10:20:00,2016-11-11 09:56:00,2016-11-14 09:56:00,29983.0,1
651842,Digital Camera,1,41168,18704.63,24671.13,2016-03-04 11:44:00,2016-03-04 09:00:00,2016-03-09 09:00:00,41168.0,0
969066,Washing Machine,3,49142,40772.91,51452.79,2016-11-26 09:49:00,2016-11-26 09:42:00,2016-11-29 09:42:00,49142.0,1
782997,Electric Guitar,3,22442,26306.29,31964.6,2016-05-16 12:37:00,2016-05-16 09:40:00,2016-05-21 09:40:00,22442.0,1
589645,Used Smartphone,2,8683,36652.23,54948.34,2016-12-13 10:47:00,2016-12-13 09:42:00,2016-12-19 09:42:00,8683.0,1
321655,LED TV,2,37257,83275.11,131916.62,2016-05-28 11:06:00,2016-05-28 10:03:00,2016-05-31 10:03:00,37257.0,1
264891,Office Chair,1,7973,12019.39,15167.96,2016-10-21 11:04:00,2016-10-21 10:58:00,2016-10-22 10:58:00,7973.0,1
772938,Digital Camera,3,40710,16504.76,25660.42,2016-07-04 12:15:00,2016-07-04 11:30:00,2016-07-09 11:30:00,40710.0,1
466991,Tablet,1,9144,15153.21,18755.88,2016-12-23 14:30:00,2016-12-23 11:49:00,2016-12-29 11:49:00,9144.0,1
551579,Office Chair,1,9642,14066.09,17191.75,2016-10-13 12:54:00,2016-10-13 11:45:00,2016-10-19 11:45:00,9642.0,0
861937,LED TV,1,15564,40698.77,53349.81,2016-06-22 13:09:00,2016-06-22 10:39:00,2016-06-26 10:39:00,15564.0,1
112403,Laptop,3,30883,66388.09,102615.34,2016-05-11 13:07:00,2016-05-11 10:57:00,2016-05-12 10:57:00,30883.0,1
415918,Tablet,2,43983,28730.65,35556.69,2016-10-09 11:47:00,2016-10-09 11:10:00,2016-10-11 11:10:00,43983.0,0
521644,Microwave Oven,2,15147,12787.98,15504.68,2016-05-28 11:55:00,2016-05-28 10:41:00,2016-06-01 10:41:00,15147.0,0
559426,LED TV,2,20791,80617.58,110791.9,2016-10-06 10:31:00,2016-10-06 10:03:00,2016-10-10 10:03:00,20791.0,1
578274,Electric Guitar,1,24050,43380.43,53194.43,2016-08-22 12:54:00,2016-08-22 10:37:00,2016-08-27 10:37:00,24050.0,0
