Auction_ID,Product_Name,Lot,Bidder_ID,Start_Price,Bid_Amount,Final_Price,Bid_Time,Auction_Start,Auction_End,Bid_Winner,Fraudulent
777767,Washing Machine,3,40432,43342.37,63050.54,194760.8,2016-11-25 14:26:00,2016-11-25 11:43:00,2016-11-29 11:43:00,40432.0,1
826614,Used Smartphone,2,12332,18129.98,27829.07,57062.99,2016-10-24 12:37:00,2016-10-24 10:37:00,2016-10-26 10:37:00,12332.0,1
169299,Electric Guitar,1,9209,58785.19,73350.89,76481.86,2016-05-17 12:53:00,2016-05-17 10:18:00,2016-05-22 10:18:00,9209.0,0
587760,LED TV,2,48261,16855.52,25441.19,52457.65,2016-05-17 13:47:00,2016-05-17 11:18:00,2016-05-18 11:18:00,48261.0,1
668998,Refrigerator,2,42703,33274.16,49164.02,100018.72,2016-10-24 12:34:00,2016-10-24 09:42:00,2016-10-25 09:42:00,42703.0,1
888396,Electric Guitar,1,33275,45294.06,52961.45,54192.07,2016-11-19 13:13:00,2016-11-19 11:37:00,2016-11-24 11:37:00,33275.0,0
836705,Office Chair,3,35379,5472.22,6745.97,21192.3,2016-06-10 11:32:00,2016-06-10 09:11:00,2016-06-12 09:11:00,35379.0,0
432690,Used Smartphone,2,6911,11728.07,13007.99,26809.7,2016-02-10 11:35:00,2016-02-10 09:43:00,2016-02-15 09:43:00,6911.0,0
947114,Air Conditioner,1,17518,35036.01,51348.88,52295.41,2016-01-27 11:10:00,2016-01-27 11:05:00,2016-01-29 11:05:00,17518.0,1
935350,Laptop,2,5025,20440.44,25695.74,53593.87,2016-11-12 13:28:00,2016-11-12 10:45:00,2016-11-16 10:45:00,5025.0,0
747665,Microwave Oven,1,47861,11098.41,13220.46,13449.4,2016-12-29 12:07:00,2016-12-29 11:27:00,2017-01-04 11:27:00,47861.0,0
770638,Electric Guitar,3,19971,52757.82,62798.51,196174.05,2016-08-24 12:30:00,2016-08-24 10:07:00,2016-08-25 10:07:00,19971.0,0
903285,Power Tools,3,19983,12835.37,19608.97,60282.3,2016-09-25 13:38:00,2016-09-25 10:45:00,2016-09-27 10:45:00,19983.0,1
955729,Digital Camera,3,41372,42150.75,51481.92,154312.57,2016-07-31 12:10:00,2016-07-31 11:56:00,2016-08-05 11:56:00,41372.0,0
858190,Home Theater System,2,29773,34999.75,46434.54,97442.78,2016-03-04 13:45:00,2016-03-04 11:52:00,2016-03-10 11:52:00,29773.0,1
660287,Scooter Helmet,3,26801,2180.75,2392.84,7346.02,2016-12-16 13:44:00,2016-12-16 11:51:00,2016-12-17 11:51:00,26801.0,0
734038,Home Theater System,1,8571,46752.26,66510.32,65875.95,2016-08-11 12:21:00,2016-08-11 10:09:00,2016-08-16 10:09:00,8571.0,1
146818,Air Conditioner,3,42055,50927.85,61421.7,186516.51,2016-03-03 11:09:00,2016-03-03 09:01:00,2016-03-05 09:01:00,42055.0,0
291322,Microwave Oven,1,32981,13963.94,15380.75,15893.77,2016-03-20 10:43:00,2016-03-20 09:23:00,2016-03-23 09:23:00,32981.0,0
390585,LED TV,2,23550,77206.09,86283.09,180320.87,2016-12-07 13:13:00,2016-12-07 11:34:00,2016-12-11 11:34:00,23550.0,0
240844,Microwave Oven,2,49517,6557.78,9953.57,20046.5,2016-04-13 12:55:00,2016-04-13 11:43:00,2016-04-17 11:43:00,49517.0,1
784456,Office Chair,3,36214,3719.05,4859.74,14839.32,2016-12-28 13:15:00,2016-12-28 10:55:00,2016-12-31 10:55:00,36214.0,1
110991,Used Smartphone,3,17823,5386.43,7992.16,24524.5,2016-08-17 12:59:00,2016-08-17 11:00:00,2016-08-22 11:00:00,17823.0,1
574858,Laptop,3,26714,41584.25,50091.55,152389.39,2016-12-20 09:53:00,2016-12-20 09:35:00,2016-12-26 09:35:00,26714.0,0
232216,LED TV,3,44386,80104.83,116630.18,366480.55,2016-05-12 09:38:00,2016-05-12 09:35:00,2016-05-15 09:35:00,44386.0,1
550635,Laptop,1,39660,21808.24,32618.26,32557.35,2016-11-28 11:25:00,2016-11-28 09:59:00,2016-11-30 09:59:00,39660.0,1
364332,Scooter Helmet,1,20523,2257.36,2943.65,3080.65,2016-10-25 11:26:00,2016-10-25 11:03:00,2016-10-31 11:03:00,20523.0,1
645991,Electric Guitar,2,33694,47155.77,51072.24,101015.44,2016-03-06 12:33:00,2016-03-06 09:58:00,2016-03-08 09:58:00,,0
566797,Washing Machine,3,35505,32508.59,36085.55,110015.09,2016-06-04 10:11:00,2016-06-04 09:53:00,2016-06-05 09:53:00,35505.0,0
195076,Air Conditioner,3,31358,22094.34,33600.97,99345.72,2016-01-15 10:10:00,2016-01-15 09:09:00,2016-01-16 09:09:00,31358.0,1
424110,Air Conditioner,2,46166,22362.62,27257.03,55916.01,2016-01-25 13:34:00,2016-01-25 11:31:00,2016-01-28 11:31:00,46166.0,0
767545,Washing Machine,3,35029,26831.49,33654.13,105529.17,2016-11-10 13:41:00,2016-11-10 11:14:00,2016-11-13 11:14:00,35029.0,0
989355,Used Smartphone,3,20658,21429.81,32533.25,98307.88,2016-02-01 11:56:00,2016-02-01 11:20:00,2016-02-06 11:20:00,20658.0,1
166468,Washing Machine,3,38426,38494.5,46518.03,142324.53,2016-03-04 11:16:00,2016-03-04 11:09:00,2016-03-06 11:09:00,38426.0,0
260024,Washing Machine,1,22009,16402.16,19997.99,20437.8,2016-03-09 11:30:00,2016-03-09 09:24:00,2016-03-14 09:24:00,22009.0,0
736051,Washing Machine,3,43024,18949.49,29997.81,89197.52,2016-07-13 11:30:00,2016-07-13 11:13:00,2016-07-18 11:13:00,43024.0,1
897184,Air Conditioner,1,22034,46903.88,63243.76,65281.18,2016-03-01 12:15:00,2016-03-01 09:50:00,2016-03-04 09:50:00,22034.0,1
136351,Microwave Oven,1,12526,11486.86,12633.37,12886.42,2016-09-06 11:01:00,2016-09-06 10:57:00,2016-09-12 10:57:00,12526.0,0
691052,Scooter Helmet,2,29863,7326.59,10253.4,20540.62,2016-10-07 12:24:00,2016-10-07 11:04:00,2016-10-12 11:04:00,29863.0,1
732912,Home Theater System,1,12412,37141.84,40681.81,40548.62,2016-03-02 11:13:00,2016-03-02 11:02:00,2016-03-07 11:02:00,12412.0,0
748126,Office Chair,2,6394,4992.9,7127.27,14454.68,2016-01-13 11:32:00,2016-01-13 10:30:00,2016-01-16 10:30:00,6394.0,1
137266,Tablet,2,12960,20279.62,27009.72,56280.14,2016-05-18 13:09:00,2016-05-18 11:32:00,2016-05-24 11:32:00,12960.0,1
910067,Power Tools,1,25930,14037.68,16463.62,16643.37,2016-06-30 11:53:00,2016-06-30 09:39:00,2016-07-04 09:39:00,25930.0,0
